target_id,ens_gene,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,,,,
PA5540,PA5540,1.21E-25,6.58E-22,4.28598867,0.409418785,5.482930667,5.712058153,0.018204281,0.233231332,0.14439646,0.233231332,,,,target_id: transcript ID
PA4834,cntI,4.08E-20,1.11E-16,3.093815139,0.336797794,5.724268841,2.970609913,0.006550318,0.117327529,0.163598813,0.163598813,,,,ens_gene: associated gene ID
PA2184,PA2184,2.08E-19,3.78E-16,3.69950242,0.410642288,6.259655357,4.270803382,0.00459053,0.201544389,0.248350103,0.248350103,,,,pval: the Wald test FDR adjusted pvalue using Benjamini-Hochberg
PA2134,PA2134,7.49E-19,1.02E-15,3.869551445,0.436380324,6.335308717,4.720541861,0.005573106,0.280068574,0.265264857,0.280068574,,,,qval: the p-value adjusted for multiple test correction
PA0085,hcp1,7.59E-17,8.28E-14,2.666319499,0.319796879,5.51125251,2.158437492,0.007665747,0.024408742,0.14573932,0.14573932,,,,"b: beta value, which is the log2 fold changes between conditions (log2)."
PA2187,PA2187,3.16E-16,2.88E-13,2.632639271,0.322349619,5.542947725,2.164420165,0.008516606,0.097962525,0.147347309,0.147347309,,,,se_b: standard error of the beta value
PA4171,PA4171,7.91E-16,6.16E-13,2.895506082,0.359438049,5.916406035,2.608897157,0.005201653,0.111936493,0.188591914,0.188591914,,,,mean_obs: the mean expression (log2) of the transcript across all samples
PA3126,ibpA,9.64E-15,6.58E-12,3.508447822,0.453056871,6.496712021,3.856488085,0.004199481,0.200458331,0.303691312,0.303691312,,,,var_obs: the biological variance of the expression
PA2698,PA2698,4.28E-14,2.60E-11,2.444961663,0.323742417,5.563683741,1.911255587,0.008599819,0.13878059,0.14861391,0.14861391,,,,tech_var: the technical variance of expression (derived from the bootstraps)
PA5536,dksA2,7.42E-14,4.05E-11,4.233684051,0.565981644,5.287641213,5.761626458,0.051245921,0.42925691,0.137964093,0.42925691,,,,sigma_sq: raw estimator of the variance once the technical variance has been removed
PA4836,cntL,3.75E-13,1.86E-10,4.256832359,0.585990997,6.297985886,5.848249057,0.011315422,0.503762751,0.256795993,0.503762751,,,,smooth_sigma_sq: the smooth regression fit for the shrinkage estimation
PA2170,PA2170,5.48E-13,2.49E-10,2.915009138,0.404139291,4.99422421,2.745177762,0.015928853,0.229063997,0.151624405,0.229063997,,,,"final_sigma_sq: max(sigma_sq, smooth_sigma_sq). this is the one used for covariance estimation of beta (in addition to tech_var)"
PA2139,PA2139,7.00E-13,2.94E-10,3.044164574,0.424014924,4.479607412,2.967096077,0.028119098,0.205649266,0.241563886,0.241563886,,,,
PA4581.1,PA4581.1,9.65E-13,3.63E-10,4.959048223,0.694989385,8.031878674,7.870322353,0.001580923,0.614262289,0.722934446,0.722934446,,,,
PA4837,cntO,9.97E-13,3.63E-10,4.403354975,0.617502668,7.48826453,6.252157723,0.004087031,0.540034486,0.567877287,0.567877287,,,,
PA4630,PA4630,2.82E-12,9.64E-10,2.412122444,0.345270589,5.164305351,1.888554541,0.008792093,0.170025576,0.139462436,0.170025576,,,,
PA1029,PA1029,4.02E-12,1.29E-09,4.820635694,0.694968867,7.137009438,7.551136619,0.004568633,0.719903956,0.469023428,0.719903956,,,,
PA1030,PA1030,5.25E-12,1.59E-09,4.41176301,0.639499413,7.640815758,6.324755877,0.001887789,0.605187235,0.61155146,0.61155146,,,,
PA1030.1,P8,2.66E-11,7.66E-09,3.698491608,0.554996357,5.412238736,4.473277201,0.016161967,0.445869468,0.14130341,0.445869468,,,,
PA0070,tagQ1,3.10E-11,8.46E-09,2.711228792,0.408211293,5.570009094,2.40519222,0.009317816,0.240636875,0.149035304,0.240636875,,,,
PA3042,PA3042,4.20E-11,1.09E-08,2.072512818,0.314174922,5.225735389,1.341359636,0.010103558,0.05585497,0.137955265,0.137955265,,,,
PA4110,ampC,4.51E-11,1.12E-08,2.972881827,0.451373696,6.488122224,2.810428728,0.00399753,0.194778496,0.30160979,0.30160979,,,,
PA4139,PA4139,5.51E-11,1.20E-08,2.109387969,0.321723542,5.401832325,1.459062527,0.0073579,0.147901157,0.140900248,0.147901157,,,,
PA5535,PA5535,5.42E-11,1.20E-08,3.128146774,0.476922461,6.634582694,3.117461883,0.00402622,0.223312794,0.337156331,0.337156331,,,,
